,title,magnitude,date_time,tsunami,nst,depth,latitude,longitude,location,continent,country,date_parsed
507,"M 7.2 - 12km SW of Delta, B.C., MX",7.2,4/4/2010 22:40,0,10,9.987,32.2862,-115.295,"Delta, B.C., MX",North America,Mexico,4/4/2010
508,"M 6.6 - 217 km N of Bamboo Flat, India",6.6,30-03-2010 16:54,0,413,34,13.667,92.831,"Bamboo Flat, India",,India,3/30/2010
509,"M 6.7 - 52 km NNW of Tomé, Chile",6.7,16-03-2010 02:21,0,312,18,-36.217,-73.257,"Tomé, Chile",,,3/16/2010
510,"M 6.5 - 59 km ENE of Namie, Japan",6.5,14-03-2010 08:08,0,491,32,37.745,141.59,"Namie, Japan",,,3/14/2010
511,"M 7.0 - 52 km NW of Santa Cruz, Chile",7,11/3/2010 14:55,0,403,18,-34.326,-71.799,"Santa Cruz, Chile",South America,Chile,11/3/2010
512,"M 6.9 - 61 km NW of Santa Cruz, Chile",6.9,11/3/2010 14:39,0,415,11,-34.29,-71.891,"Santa Cruz, Chile",South America,Chile,11/3/2010
513,"M 6.8 - 141 km W of Bengkulu, Indonesia",6.8,5/3/2010 16:07,0,401,26,-3.762,100.991,"Bengkulu, Indonesia",,Indonesia,5/3/2010
514,"M 6.6 - 23 km WNW of Talcahuano, Chile",6.6,5/3/2010 11:47,0,255,18,-36.665,-73.374,"Talcahuano, Chile",,Chile,5/3/2010
515,"M 6.5 - 48 km NW of Sola, Vanuatu",6.5,4/3/2010 14:02,0,426,176,-13.571,167.227,"Sola, Vanuatu",,Vanuatu,4/3/2010
516,"M 7.4 - 124 km W of Lebu, Chile",7.4,27-02-2010 08:01,0,409,35,-37.773,-75.048,"Lebu, Chile",,,2/27/2010
517,"M 8.8 - 36 km WNW of Quirihue, Chile",8.8,27-02-2010 06:34,0,454,22.9,-36.122,-72.898,"Quirihue, Chile",South America,Chile,2/27/2010
518,"M 7.0 - 70 km SE of Katsuren-haebaru, Japan",7,26-02-2010 20:31,0,487,25,25.93,128.425,"Katsuren-haebaru, Japan",,,2/26/2010
519,"M 7.0 - 10 km SE of Léogâne, Haiti",7,12/1/2010 21:53,0,500,13,18.443,-72.571,"Léogâne, Haiti",,Haiti,12/1/2010
520,"M 6.5 - 37 km WNW of Ferndale, California",6.5,10/1/2010 0:27,0,51,28.737,40.652,-124.692,"Ferndale, California",North America,,10/1/2010
521,"M 6.8 - 127 km SE of Gizo, Solomon Islands",6.8,5/1/2010 12:15,0,338,15.4,-9.019,157.551,"Gizo, Solomon Islands",,,5/1/2010
522,"M 7.1 - 94 km SE of Gizo, Solomon Islands",7.1,3/1/2010 22:36,0,377,10,-8.783,157.354,"Gizo, Solomon Islands",,Solomon Islands,3/1/2010
523,"M 6.6 - 98 km SE of Gizo, Solomon Islands",6.6,3/1/2010 21:48,0,282,10,-8.726,157.487,"Gizo, Solomon Islands",,Solomon Islands,3/1/2010
524,"M 6.5 - 92 km N of Iquique, Chile",6.5,13-11-2009 03:05,0,390,27,-19.394,-70.321,"Iquique, Chile",South America,Chile,11/13/2009
525,"M 7.3 - 77 km ENE of Ba, Fiji",7.3,9/11/2009 10:44,0,430,595,-17.239,178.331,"Ba, Fiji",,Fiji,9/11/2009
526,"M 6.6 - 29 km NNW of Bima, Indonesia",6.6,8/11/2009 19:41,0,305,18,-8.207,118.631,"Bima, Indonesia",,Indonesia,8/11/2009
527,"M 6.8 - 98 km NNE of Naze, Japan",6.8,30-10-2009 07:03,0,424,34,29.218,129.782,"Naze, Japan",,,10/30/2009
528,"M 6.9 - 268 km WSW of Tual, Indonesia",6.9,24-10-2009 14:40,0,397,130,-6.133,130.385,"Tual, Indonesia",,Indonesia,10/24/2009
529,"M 6.8 - 188 km WNW of Sola, Vanuatu",6.8,8/10/2009 8:28,0,174,35,-13.298,165.91,"Sola, Vanuatu",,,8/10/2009
530,"M 7.4 - 143 km NW of Sola, Vanuatu",7.4,7/10/2009 23:13,0,314,31.1,-13.093,166.497,"Sola, Vanuatu",,Vanuatu,7/10/2009
531,"M 7.8 - 196 km NW of Sola, Vanuatu",7.8,7/10/2009 22:18,0,195,35,-12.517,166.382,"Sola, Vanuatu",,,7/10/2009
532,"M 7.7 - 148 km NW of Sola, Vanuatu",7.7,7/10/2009 22:03,0,283,45,-13.006,166.51,"Sola, Vanuatu",,Vanuatu,7/10/2009
533,"M 6.6 - 49 km SSE of Sungai Penuh, Indonesia",6.6,1/10/2009 1:52,0,417,9,-2.482,101.524,"Sungai Penuh, Indonesia",,Indonesia,1/10/2009
534,"M 7.6 - 30 km WSW of Pariaman, Indonesia",7.6,30-09-2009 10:16,0,498,81,-0.72,99.867,"Pariaman, Indonesia",,Indonesia,9/30/2009
535,"M 8.1 - 168 km SSW of Matavai, Samoa",8.1,29-09-2009 17:48,0,520,18,-15.489,-172.095,"Matavai, Samoa",,,9/29/2009
536,"M 7.0 - 66 km SSW of Banjar, Indonesia",7,2/9/2009 7:55,0,312,46,-7.782,107.297,"Banjar, Indonesia",,Indonesia,2/9/2009
537,"M 6.7 - 112 km WSW of Padang, Indonesia",6.7,16-08-2009 07:38,0,369,20,-1.479,99.49,"Padang, Indonesia",,Indonesia,8/16/2009
538,"M 6.6 - 244 km SSE of Tateyama, Japan",6.6,12/8/2009 22:48,0,336,53,32.821,140.395,"Tateyama, Japan",,,12/8/2009
539,"M 7.5 - 266 km N of Bamboo Flat, India",7.5,10/8/2009 19:55,0,303,24,14.099,92.902,"Bamboo Flat, India",,,10/8/2009
540,"M 7.1 - 161 km S of ?yama, Japan",7.1,9/8/2009 10:55,0,447,292,33.167,137.944,"?yama, Japan",,,9/8/2009
541,"M 6.9 - 96 km WNW of Bahía de Kino, Mexico",6.9,3/8/2009 17:59,0,243,10,29.039,-112.903,"Bahía de Kino, Mexico",North America,Mexico,3/8/2009
542,"M 7.8 - 97 km WSW of Te Anau, New Zealand",7.8,15-07-2009 09:22,0,434,12,-45.762,166.562,"Te Anau, New Zealand",,New Zealand,7/15/2009
543,"M 6.7 - 190 km ESE of Kokopo, Papua New Guinea",6.7,23-06-2009 14:19,0,269,64,-5.157,153.782,"Kokopo, Papua New Guinea",,Papua New Guinea,6/23/2009
544,"M 7.3 - 46 km NW of Guanaja, Honduras",7.3,28-05-2009 08:24,0,464,19,16.731,-86.217,"Guanaja, Honduras",,,5/28/2009
545,"M 7.6 - 191 km S of ‘Ohonua, Tonga",7.6,19-03-2009 18:17,0,504,31,-23.043,-174.66,"‘Ohonua, Tonga",,,3/19/2009
546,"M 7.2 - 196 km SSE of Sarangani, Philippines",7.2,11/2/2009 17:34,0,432,20,3.886,126.387,"Sarangani, Philippines",,Indonesia,11/2/2009
547,"M 7.4 - 86 km WNW of Manokwari, Indonesia",7.4,3/1/2009 22:33,0,314,23,-0.691,133.305,"Manokwari, Indonesia",,Indonesia,3/1/2009
548,"M 6.6 - 50 km S of Jurm, Afghanistan",6.6,3/1/2009 20:23,0,344,204.8,36.419,70.743,"Jurm, Afghanistan",Asia,Afghanistan,3/1/2009
549,"M 7.7 - 140 km WNW of Manokwari, Indonesia",7.7,3/1/2009 19:43,0,288,17,-0.414,132.885,"Manokwari, Indonesia",,Indonesia,3/1/2009
550,"M 7.4 - 135 km NW of Gorontalo, Indonesia",7.4,16-11-2008 17:02,0,365,30,1.271,122.091,"Gorontalo, Indonesia",,Indonesia,11/16/2008
551,"M 6.7 - 19 km SW of Brisas Barra de Suchiate, Mexico",6.7,16-10-2008 19:41,0,481,24,14.423,-92.364,"Brisas Barra de Suchiate, Mexico",,Mexico,10/16/2008
552,"M 6.7 - 131 km SE of Nookat, Kyrgyzstan",6.7,5/10/2008 15:52,0,529,27.4,39.533,73.824,"Nookat, Kyrgyzstan",Asia,Kyrgyzstan,5/10/2008
553,"M 6.8 - 122 km SSE of Obihiro, Japan",6.8,11/9/2008 0:20,0,500,25,41.892,143.754,"Obihiro, Japan",,,11/9/2008
554,"M 6.6 - 73 km WNW of Tobelo, Indonesia",6.6,11/9/2008 0:00,0,463,96,1.885,127.363,"Tobelo, Indonesia",,Indonesia,11/9/2008
555,"M 6.9 - 75 km WNW of Sola, Vanuatu",6.9,8/9/2008 18:52,0,531,110,-13.501,166.967,"Sola, Vanuatu",,Vanuatu,8/9/2008
556,"M 6.7 - 221 km NE of Jumla, Nepal",6.7,25-08-2008 13:21,0,325,12,30.901,83.52,"Jumla, Nepal",Asia,People's Republic of China,8/25/2008
557,"M 6.8 - 29 km ENE of Morioka, Japan",6.8,23-07-2008 15:26,0,633,108,39.802,141.464,"Morioka, Japan",Asia,Japan,7/23/2008
558,"M 7.0 - 107 km E of Namie, Japan",7,19-07-2008 02:39,0,577,22,37.552,142.214,"Namie, Japan",,,7/19/2008
559,"M 6.9 - 151 km E of Namie, Japan",6.9,19-07-2008 02:39,0,0,25.5,37.55,142.714,"Namie, Japan",,,7/19/2008
560,"M 6.6 - 124 km SW of Bamboo Flat, India",6.6,27-06-2008 11:40,0,630,17,11.005,91.824,"Bamboo Flat, India",,,6/27/2008
561,"M 6.9 - 24 km WSW of Mizusawa, Japan",6.9,13-06-2008 23:43,0,654,7.8,39.03,140.881,"Mizusawa, Japan",Asia,Japan,6/13/2008
562,"M 7.9 - 58 km W of Tianpeng, China",7.9,12/5/2008 6:28,0,774,19,31.002,103.322,"Tianpeng, China",Asia,People's Republic of China,12/5/2008
563,"M 6.9 - 78 km NE of Hasaki, Japan",6.9,7/5/2008 16:45,0,519,27,36.164,141.526,"Hasaki, Japan",,,7/5/2008
564,"M 7.3 - 71 km SW of Isangel, Vanuatu",7.3,9/4/2008 12:46,0,486,33,-20.071,168.892,"Isangel, Vanuatu",,,9/4/2008
565,"M 7.2 - 226 km SE of Hotan, China",7.2,20-03-2008 22:32,0,532,10,35.49,81.467,"Hotan, China",Asia,People's Republic of China,3/20/2008
566,M 6.9 - Philippine Islands region,6.9,3/3/2008 14:11,0,544,24,13.351,125.63,Philippine Islands region,,,3/3/2008
567,"M 6.7 - 155 km SSW of Padang, Indonesia",6.7,25-02-2008 21:02,0,543,25,-2.245,99.808,"Padang, Indonesia",,Indonesia,2/25/2008
568,"M 6.6 - 161 km SSW of Padang, Indonesia",6.6,25-02-2008 18:06,0,421,25,-2.332,99.891,"Padang, Indonesia",,Indonesia,2/25/2008
569,"M 7.2 - 164 km WSW of Sungai Penuh, Indonesia",7.2,25-02-2008 08:36,0,505,25,-2.486,99.972,"Sungai Penuh, Indonesia",,Indonesia,2/25/2008
570,"M 6.5 - 166 km WSW of Sungai Penuh, Indonesia",6.5,24-02-2008 14:46,0,429,22,-2.405,99.931,"Sungai Penuh, Indonesia",,Indonesia,2/24/2008
571,"M 7.4 - 56 km NW of Sinabang, Indonesia",7.4,20-02-2008 08:08,0,607,26,2.768,95.964,"Sinabang, Indonesia",,Indonesia,2/20/2008
